Year,Month,Weekday,State,NumOfAccidents
2016,7,Thursday,OK,17
2016,7,Thursday,OR,23
2016,7,Thursday,PA,504
2016,7,Thursday,RI,21
2016,7,Thursday,SC,55
2016,7,Thursday,TN,45
2016,7,Thursday,TX,1080
2016,7,Thursday,UT,34
2016,7,Thursday,VA,106
2016,7,Thursday,VT,3
2016,7,Thursday,WA,271
2016,7,Thursday,WI,35
2016,7,Thursday,WV,17
2016,7,Thursday,WY,1
2016,7,Tuesday,AL,4
2016,7,Tuesday,AZ,72
2016,7,Tuesday,CA,2180
2016,7,Tuesday,CO,26
2016,7,Tuesday,CT,81
2016,7,Tuesday,DC,14
2016,7,Tuesday,DE,6
2016,7,Tuesday,FL,937
2016,7,Tuesday,GA,315
2016,7,Tuesday,IA,18
2016,7,Tuesday,ID,15
2016,7,Tuesday,IL,450
2016,7,Tuesday,IN,27
2016,7,Tuesday,KS,14
2016,7,Tuesday,KY,29
2016,7,Tuesday,LA,28
2016,7,Tuesday,MA,151
2016,7,Tuesday,MD,175
2016,7,Tuesday,ME,3
2016,7,Tuesday,MI,371
2016,7,Tuesday,MN,75
2016,7,Tuesday,MO,67
2016,7,Tuesday,MS,4
2016,7,Tuesday,MT,3
2016,7,Tuesday,NC,180
2016,7,Tuesday,NE,84
2016,7,Tuesday,NH,11
2016,7,Tuesday,NJ,129
